# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Angle of attack (rad),Pitch rate (rad/s),Mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm),Thrust (N),Drag force (N),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s)
0,0,-9.6608,0.13139,1.5708,0,1073.8,0.086493,2.4793e-4,55.639,0.1411,0,15,1013.2,340.39,1.225
1.5e-4,0,-9.3323,0.4599,1.5708,-0.11927,1073.8,0.086429,2.4793e-4,55.631,0.49385,0,15,1013.2,340.39,1.225
3.75e-4,0,-8.8395,0.95267,1.5708,-0.11936,1073.8,0.086337,2.4793e-4,55.621,1.023,0,15,1013.2,340.39,1.225
7.125e-4,0,-8.1003,1.6918,1.5708,-0.11951,1073.8,0.086205,2.4793e-4,55.605,1.8167,0,15,1013.2,340.39,1.225
0.0012188,0,-6.7808,3.0114,1.5708,-0.1197,1073.8,0.086019,2.4793e-4,55.584,3.0072,0,15,1013.2,340.39,1.225
0.0019781,0,-5.4503,4.3419,1.5708,-0.11996,1073.8,0.085769,2.4792e-4,55.555,4.6622,0,15,1013.2,340.39,1.225
0.0029781,0,-3.6981,6.094,1.5708,-0.12026,1073.8,0.085491,2.4792e-4,55.522,6.5435,0,15,1013.2,340.39,1.225
0.0039781,0,-1.9459,7.8462,1.5708,-0.12049,1073.7,0.08527,2.4792e-4,55.496,8.4248,0,15,1013.2,340.39,1.225
0.0049781,0,-0.19375,9.5984,1.5708,-0.12067,1073.7,0.085105,2.4792e-4,55.476,10.306,0,15,1013.2,340.39,1.225
0.0059781,0,1.5585,11.351,1.5708,-0.12079,1073.7,0.084994,2.4792e-4,55.462,12.188,0,15,1013.2,340.39,1.225
0.0069781,7.7925e-7,3.3107,13.103,1.57,-0.12084,1073.7,0.084938,2.4792e-4,55.455,14.069,0,15,1013.2,340.39,1.225
0.0079781,3.9931e-6,5.063,14.855,1.5684,-0.12085,1073.7,0.084936,2.4792e-4,55.455,15.95,0,15,1013.2,340.39,1.225
0.0089781,1.1394e-5,6.8153,16.607,1.5658,-0.1208,1073.7,0.084987,2.4792e-4,55.461,17.832,0,15,1013.2,340.39,1.225
0.0099781,2.4734e-5,8.5676,18.36,1.5624,-0.12069,1073.7,0.085093,2.4792e-4,55.474,19.713,8.0742e-9,15,1013.2,340.39,1.225
0.010978,4.5765e-5,10.32,20.112,1.5581,-0.12052,1073.7,0.085253,2.4792e-4,55.493,21.594,2.7814e-8,15,1013.2,340.39,1.225
0.011978,7.624e-5,12.072,21.864,1.553,-0.1203,1073.7,0.085469,2.4792e-4,55.518,23.476,7.7343e-8,15,1013.2,340.39,1.225
0.012978,1.1791e-4,13.825,23.617,1.547,-0.12002,1073.7,0.085741,2.4792e-4,55.55,25.357,1.8492e-7,15,1013.2,340.39,1.225
0.013978,1.7253e-4,15.577,25.369,1.54,-0.11969,1073.7,0.086073,2.4792e-4,55.588,27.238,3.9512e-7,15,1013.2,340.39,1.225
0.014978,2.4185e-4,16.476,26.268,1.5323,-0.11932,1073.7,0.086465,2.4791e-4,55.633,28.203,7.7393e-7,15,1013.2,340.39,1.225
0.015978,3.272e-4,16.445,26.237,1.524,-0.11945,1073.6,0.086373,2.4791e-4,55.623,28.169,1.3767e-6,15,1013.2,340.39,1.225
0.016978,4.2901e-4,16.413,26.205,1.5158,-0.1196,1073.6,0.086274,2.4791e-4,55.611,28.135,2.2261e-6,15,1013.2,340.39,1.225
0.017978,5.4724e-4,16.381,26.173,1.5077,-0.11977,1073.6,0.086178,2.4791e-4,55.6,28.1,3.3613e-6,15,1013.2,340.39,1.225
0.018978,6.8188e-4,16.349,26.141,1.4995,-0.11992,1073.6,0.086086,2.4791e-4,55.589,28.066,4.8196e-6,15,1013.2,340.39,1.225
0.019978,8.3288e-4,16.318,26.11,1.4914,-0.12009,1073.6,0.085997,2.4791e-4,55.578,28.031,6.6374e-6,15,1013.2,340.39,1.225
0.020978,0.0010002,16.286,26.078,1.4833,-0.12027,1073.6,0.085912,2.4791e-4,55.568,27.997,8.8494e-6,15,1013.2,340.39,1.225
0.021978,0.0011838,16.254,26.046,1.4752,-0.12044,1073.6,0.08583,2.479e-4,55.558,27.962,1.1489e-5,15,1013.2,340.39,1.225
0.022978,0.0013838,16.222,26.014,1.4672,-0.12062,1073.5,0.085752,2.479e-4,55.549,27.928,1.459e-5,15,1013.2,340.39,1.225
0.023978,0.0015999,16.19,25.983,1.4592,-0.12081,1073.5,0.085677,2.479e-4,55.54,27.893,1.8181e-5,15,1013.2,340.39,1.225
0.024978,0.0018322,16.159,25.951,1.4512,-0.12099,1073.5,0.085605,2.479e-4,55.531,27.859,2.2293e-5,15,1013.2,340.39,1.225
0.025978,0.0020808,16.127,25.919,1.4432,-0.12119,1073.5,0.085537,2.479e-4,55.523,27.824,2.6955e-5,15,1013.2,340.39,1.225
0.026978,0.0023454,16.095,25.887,1.4353,-0.12138,1073.5,0.085472,2.479e-4,55.515,27.79,3.2194e-5,15,1013.2,340.39,1.225
0.027978,0.0026262,16.063,25.855,1.4274,-0.12159,1073.5,0.085411,2.4789e-4,55.507,27.755,3.8036e-5,15,1013.2,340.39,1.225
0.028978,0.0029231,16.032,25.824,1.4196,-0.12179,1073.5,0.085353,2.4789e-4,55.5,27.721,4.4507e-5,15,1013.2,340.39,1.225
0.029978,0.003236,16,25.792,1.4117,-0.12199,1073.4,0.085298,2.4789e-4,55.493,27.686,5.1629e-5,15,1013.2,340.39,1.225
0.030978,0.0035649,15.968,25.76,1.404,-0.12221,1073.4,0.085246,2.4789e-4,55.487,27.652,5.9426e-5,15,1013.2,340.39,1.225
0.031978,0.0039098,15.936,25.728,1.3962,-0.12243,1073.4,0.085198,2.4789e-4,55.481,27.617,6.792e-5,15,1013.2,340.39,1.225
0.032978,0.0042707,15.904,25.697,1.3885,-0.12265,1073.4,0.085152,2.4789e-4,55.475,27.583,7.7131e-5,15,1013.2,340.39,1.225
0.033978,0.0046474,15.873,25.665,1.3808,-0.12288,1073.4,0.08511,2.4789e-4,55.47,27.548,8.7079e-5,15,1013.2,340.39,1.225
0.034978,0.0050401,15.841,25.633,1.3732,-0.12311,1073.4,0.085072,2.4788e-4,55.465,27.514,9.7782e-5,15,1013.2,340.39,1.225
0.035978,0.0054486,15.809,25.601,1.3656,-0.12333,1073.4,0.085036,2.4788e-4,55.461,27.479,1.0926e-4,15,1013.2,340.39,1.225
0.036978,0.005873,15.777,25.569,1.358,-0.12356,1073.3,0.085004,2.4788e-4,55.457,27.445,1.2152e-4,15,1013.2,340.39,1.225
0.037978,0.0063131,15.745,25.538,1.3505,-0.12381,1073.3,0.084975,2.4788e-4,55.453,27.41,1.346e-4,15,1013.2,340.39,1.225
0.038978,0.006769,15.714,25.506,1.343,-0.12404,1073.3,0.084949,2.4788e-4,55.449,27.376,1.4849e-4,15,1013.2,340.39,1.225
0.039978,0.0072407,15.682,25.474,1.3356,-0.12429,1073.3,0.084926,2.4788e-4,55.446,27.341,1.6321e-4,15,1013.2,340.39,1.225
0.040978,0.007728,15.65,25.442,1.3282,-0.12453,1073.3,0.084906,2.4787e-4,55.444,27.307,1.7879e-4,15,1013.2,340.39,1.225
0.041978,0.008231,15.618,25.41,1.3208,-0.12479,1073.3,0.084889,2.4787e-4,55.442,27.272,1.9522e-4,15,1013.2,340.39,1.225
0.042978,0.0087496,15.586,25.379,1.3135,-0.12504,1073.3,0.084876,2.4787e-4,55.44,27.238,2.1252e-4,15,1013.2,340.39,1.225
0.043978,0.0092838,15.555,25.347,1.3062,-0.1253,1073.2,0.084866,2.4787e-4,55.438,27.203,2.3071e-4,15,1013.2,340.39,1.225
0.044978,0.0098337,15.523,25.315,1.299,-0.12555,1073.2,0.084858,2.4787e-4,55.437,27.169,2.4978e-4,15,1013.2,340.39,1.225
0.045978,0.010399,15.491,25.283,1.2918,-0.12581,1073.2,0.084854,2.4787e-4,55.436,27.135,2.6976e-4,15,1013.2,340.39,1.225
0.046978,0.01098,15.459,25.251,1.2847,-0.12608,1073.2,0.084853,2.4787e-4,55.436,27.1,2.9065e-4,15,1013.2,340.39,1.225
0.047978,0.011576,15.427,25.22,1.2776,-0.12635,1073.2,0.084856,2.4786e-4,55.436,27.066,3.1245e-4,15,1013.2,340.39,1.225
0.048978,0.012188,15.396,25.188,1.2706,-0.12661,1073.2,0.084861,2.4786e-4,55.436,27.031,3.3517e-4,15,1013.2,340.39,1.225
0.049978,0.012815,15.364,25.156,1.2636,-0.12688,1073.2,0.084869,2.4786e-4,55.437,26.997,3.5882e-4,15,1013.2,340.39,1.225
0.050978,0.013458,15.332,25.124,1.2566,-0.12716,1073.1,0.084881,2.4786e-4,55.438,26.962,3.8341e-4,15,1013.2,340.39,1.225
0.051978,0.014116,15.3,25.092,1.2497,-0.12743,1073.1,0.084896,2.4786e-4,55.44,26.928,4.0894e-4,15,1013.2,340.39,1.225
0.052978,0.014789,15.268,25.06,1.2428,-0.12771,1073.1,0.084913,2.4786e-4,55.442,26.893,4.3541e-4,15,1013.2,340.39,1.225
0.053978,0.015477,15.236,25.029,1.236,-0.12799,1073.1,0.084935,2.4785e-4,55.444,26.859,4.6282e-4,15,1013.2,340.39,1.225
0.054978,0.016181,15.205,24.997,1.2292,-0.12827,1073.1,0.084959,2.4785e-4,55.446,26.824,4.9119e-4,15,1013.2,340.39,1.225
0.055978,0.0169,15.173,24.965,1.2225,-0.12855,1073.1,0.084986,2.4785e-4,55.449,26.79,5.2052e-4,15,1013.2,340.39,1.225
0.056978,0.017634,15.141,24.933,1.2158,-0.12883,1073.1,0.085017,2.4785e-4,55.453,26.755,5.5079e-4,15,1013.2,340.39,1.225
0.057978,0.018384,15.109,24.901,1.2092,-0.12912,1073,0.08505,2.4785e-4,55.457,26.721,5.8203e-4,15,1013.2,340.39,1.225
0.058978,0.019148,15.077,24.87,1.2026,-0.1294,1073,0.085087,2.4785e-4,55.461,26.686,6.1422e-4,15,1013.2,340.39,1.225
0.059978,0.019928,15.046,24.838,1.1961,-0.12969,1073,0.085127,2.4785e-4,55.465,26.652,6.4737e-4,15,1013.2,340.39,1.225
0.060978,0.020722,15.014,24.806,1.1896,-0.12998,1073,0.085171,2.4784e-4,55.47,26.617,6.8148e-4,15,1013.2,340.39,1.225
0.061978,0.021532,14.982,24.774,1.1831,-0.13027,1073,0.085218,2.4784e-4,55.476,26.583,7.1655e-4,15,1013.2,340.39,1.225
0.062978,0.022356,14.95,24.742,1.1767,-0.13055,1073,0.085267,2.4784e-4,55.481,26.548,7.5257e-4,15,1013.2,340.39,1.225
0.063978,0.023196,14.918,24.71,1.1704,-0.13084,1073,0.085321,2.4784e-4,55.487,26.514,7.8955e-4,15,1013.2,340.39,1.225
0.064978,0.024051,14.886,24.678,1.1641,-0.13113,1072.9,0.085377,2.4784e-4,55.494,26.479,8.2749e-4,15,1013.2,340.39,1.225
0.065978,0.02492,14.854,24.647,1.1578,-0.13143,1072.9,0.085437,2.4784e-4,55.5,26.445,8.6638e-4,15,1013.2,340.39,1.225
0.066978,0.025804,14.823,24.615,1.1516,-0.13172,1072.9,0.0855,2.4784e-4,55.508,26.41,9.0622e-4,15,1013.2,340.39,1.225
0.067978,0.026703,14.791,24.583,1.1455,-0.132,1072.9,0.085567,2.4783e-4,55.515,26.376,9.4701e-4,15,1013.2,340.39,1.225
0.068978,0.027617,14.759,24.551,1.1394,-0.1323,1072.9,0.085637,2.4783e-4,55.523,26.341,9.8874e-4,15,1013.2,340.39,1.225
0.069978,0.028546,14.727,24.519,1.1333,-0.13259,1072.9,0.08571,2.4783e-4,55.531,26.307,0.0010314,15,1013.2,340.39,1.225
0.070978,0.02949,14.695,24.487,1.1273,-0.13288,1072.9,0.085787,2.4783e-4,55.54,26.272,0.001075,15,1013.2,340.39,1.225
0.071978,0.030448,14.663,24.456,1.1213,-0.13317,1072.8,0.085867,2.4783e-4,55.549,26.238,0.0011196,15,1013.2,340.39,1.225
0.072978,0.031421,14.632,24.424,1.1154,-0.13346,1072.8,0.085951,2.4783e-4,55.558,26.203,0.001165,15,1013.2,340.39,1.225
0.073978,0.032408,14.6,24.392,1.1095,-0.13374,1072.8,0.086038,2.4782e-4,55.568,26.169,0.0012114,15,1013.2,340.39,1.225
0.074978,0.03341,14.568,24.36,1.1037,-0.13403,1072.8,0.086129,2.4782e-4,55.578,26.134,0.0012588,15,1013.2,340.39,1.225
0.075978,0.034427,14.536,24.328,1.0979,-0.13431,1072.8,0.086223,2.4782e-4,55.589,26.1,0.001307,15,1013.2,340.39,1.225
0.076978,0.035458,14.515,24.307,1.0922,-0.1346,1072.8,0.086321,2.4782e-4,55.6,26.078,0.0013561,15,1013.2,340.39,1.225
0.077978,0.036504,14.507,24.299,1.0865,-0.13506,1072.8,0.086272,2.4782e-4,55.594,26.068,0.0014062,15,1013.2,340.39,1.225
0.078978,0.037564,14.499,24.291,1.0808,-0.13554,1072.7,0.086221,2.4782e-4,55.588,26.059,0.0014573,15,1013.2,340.39,1.225
0.079978,0.038639,14.49,24.282,1.0752,-0.13601,1072.7,0.086171,2.4782e-4,55.582,26.05,0.0015094,15,1013.2,340.39,1.225
0.080978,0.039729,14.482,24.274,1.0696,-0.13649,1072.7,0.086121,2.4781e-4,55.576,26.041,0.0015624,15,1013.2,340.39,1.225
0.081978,0.040832,14.473,24.266,1.0641,-0.13697,1072.7,0.086072,2.4781e-4,55.57,26.031,0.0016164,15,1013.2,340.39,1.225
0.082978,0.041951,14.465,24.257,1.0586,-0.13745,1072.7,0.086025,2.4781e-4,55.564,26.022,0.0016714,15,1013.2,340.39,1.225
0.083978,0.043083,14.457,24.249,1.0531,-0.13794,1072.7,0.085978,2.4781e-4,55.559,26.013,0.0017274,15,1013.2,340.39,1.225
0.084978,0.04423,14.448,24.241,1.0477,-0.13844,1072.7,0.085931,2.4781e-4,55.553,26.004,0.0017843,15,1013.2,340.39,1.225
0.085978,0.045392,14.44,24.232,1.0423,-0.13893,1072.6,0.085886,2.4781e-4,55.548,25.994,0.0018423,15,1013.2,340.39,1.225
0.086978,0.046568,14.432,24.224,1.0369,-0.13943,1072.6,0.085842,2.4781e-4,55.542,25.985,0.0019012,15,1013.2,340.39,1.225
0.087978,0.047759,14.423,24.215,1.0316,-0.13993,1072.6,0.085798,2.478e-4,55.537,25.976,0.001961,15,1013.2,340.39,1.225
0.088978,0.048964,14.415,24.207,1.0263,-0.14042,1072.6,0.085756,2.478e-4,55.532,25.966,0.0020218,15,1013.2,340.39,1.225
0.089978,0.050183,14.406,24.199,1.0211,-0.14093,1072.6,0.085714,2.478e-4,55.527,25.957,0.0020836,15,1013.2,340.39,1.225
0.090978,0.051417,14.398,24.19,1.0159,-0.14144,1072.6,0.085673,2.478e-4,55.522,25.948,0.0021464,15,1013.2,340.39,1.225
0.091978,0.052665,14.39,24.182,1.0107,-0.14196,1072.6,0.085633,2.478e-4,55.517,25.939,0.0022101,15,1013.2,340.39,1.225
0.092978,0.053928,14.381,24.173,1.0056,-0.14248,1072.5,0.085594,2.478e-4,55.512,25.929,0.0022748,15,1013.2,340.39,1.225
0.093978,0.055205,14.373,24.165,1.0005,-0.14298,1072.5,0.085555,2.478e-4,55.507,25.92,0.0023404,15,1013.2,340.39,1.225
0.094978,0.056496,14.365,24.157,0.9954,-0.14351,1072.5,0.085518,2.4779e-4,55.502,25.911,0.0024069,15,1013.2,340.39,1.225
0.095978,0.057802,14.356,24.148,0.99037,-0.14403,1072.5,0.085481,2.4779e-4,55.498,25.902,0.0024745,15,1013.2,340.39,1.225
0.096978,0.059122,14.348,24.14,0.98538,-0.14456,1072.5,0.085445,2.4779e-4,55.493,25.892,0.0025429,15,1013.2,340.39,1.225
0.097978,0.060456,14.339,24.132,0.98042,-0.14509,1072.5,0.08541,2.4779e-4,55.489,25.883,0.0026123,15,1013.2,340.39,1.225
0.098978,0.061805,14.331,24.123,0.9755,-0.14561,1072.5,0.085376,2.4779e-4,55.485,25.874,0.0026826,15,1013.2,340.39,1.225
0.099978,0.063168,14.323,24.115,0.97062,-0.14615,1072.5,0.085342,2.4779e-4,55.481,25.865,0.0027539,15,1013.2,340.39,1.225
0.10098,0.064545,14.314,24.106,0.96577,-0.1467,1072.4,0.08531,2.4779e-4,55.476,25.855,0.002826,15,1013.2,340.39,1.225
0.10198,0.065937,14.306,24.098,0.96096,-0.14723,1072.4,0.085278,2.4778e-4,55.472,25.846,0.0028991,15,1013.2,340.39,1.225
0.10298,0.067343,14.297,24.09,0.95618,-0.14777,1072.4,0.085247,2.4778e-4,55.469,25.837,0.0029731,15,1013.2,340.39,1.225
0.10398,0.068764,14.289,24.081,0.95144,-0.14831,1072.4,0.085217,2.4778e-4,55.465,25.828,0.0030481,15,1013.2,340.39,1.225
0.10498,0.070198,14.281,24.073,0.94673,-0.14885,1072.4,0.085187,2.4778e-4,55.461,25.818,0.0031239,15,1013.2,340.39,1.225
0.10598,0.071647,14.272,24.064,0.94206,-0.14941,1072.4,0.085159,2.4778e-4,55.457,25.809,0.0032007,15,1013.2,340.39,1.225
0.10698,0.07311,14.264,24.056,0.93742,-0.14996,1072.4,0.085131,2.4778e-4,55.454,25.8,0.0032783,15,1013.2,340.39,1.225
0.10798,0.074588,14.255,24.048,0.93281,-0.15051,1072.3,0.085104,2.4778e-4,55.45,25.791,0.0033568,15,1013.2,340.39,1.225
0.10898,0.07608,14.247,24.039,0.92824,-0.15106,1072.3,0.085078,2.4777e-4,55.447,25.781,0.0034363,15,1013.2,340.39,1.225
0.10998,0.077586,14.239,24.031,0.9237,-0.15162,1072.3,0.085053,2.4777e-4,55.444,25.772,0.0035166,14.999,1013.2,340.39,1.225
0.11098,0.079106,14.23,24.022,0.9192,-0.15218,1072.3,0.085028,2.4777e-4,55.441,25.763,0.0035978,14.999,1013.2,340.39,1.225
0.11198,0.08064,14.222,24.014,0.91473,-0.15274,1072.3,0.085005,2.4777e-4,55.438,25.754,0.0036799,14.999,1013.2,340.39,1.225
0.11298,0.082189,14.213,24.006,0.9103,-0.1533,1072.3,0.084982,2.4777e-4,55.435,25.744,0.0037628,14.999,1013.2,340.39,1.225
0.11398,0.083752,14.205,23.997,0.9059,-0.15388,1072.3,0.084959,2.4777e-4,55.432,25.735,0.0038466,14.999,1013.2,340.39,1.225
0.11498,0.085329,14.197,23.989,0.90153,-0.15443,1072.2,0.084938,2.4777e-4,55.429,25.726,0.0039313,14.999,1013.2,340.39,1.225
0.11598,0.08692,14.188,23.98,0.89719,-0.15501,1072.2,0.084917,2.4776e-4,55.426,25.717,0.0040169,14.999,1013.2,340.39,1.225
0.11698,0.088526,14.18,23.972,0.89288,-0.15557,1072.2,0.084898,2.4776e-4,55.424,25.707,0.0041032,14.999,1013.2,340.39,1.225
0.11798,0.090146,14.171,23.963,0.88861,-0.15614,1072.2,0.084879,2.4776e-4,55.421,25.698,0.0041905,14.999,1013.2,340.39,1.225
0.11898,0.091779,14.163,23.955,0.88437,-0.15672,1072.2,0.084861,2.4776e-4,55.419,25.689,0.0042786,14.999,1013.2,340.39,1.225
0.11998,0.093427,14.154,23.947,0.88017,-0.1573,1072.2,0.084843,2.4776e-4,55.416,25.679,0.0043675,14.999,1013.2,340.39,1.225
0.12098,0.09509,14.146,23.938,0.87599,-0.15786,1072.2,0.084826,2.4776e-4,55.414,25.67,0.0044573,14.999,1013.2,340.39,1.225
0.12198,0.096766,14.138,23.93,0.87185,-0.15845,1072.2,0.084811,2.4776e-4,55.412,25.661,0.0045478,14.999,1013.2,340.39,1.225
0.12298,0.098457,14.129,23.921,0.86773,-0.15904,1072.1,0.084796,2.4775e-4,55.41,25.652,0.0046392,14.999,1013.2,340.39,1.225
0.12398,0.10016,14.121,23.913,0.86365,-0.15961,1072.1,0.084781,2.4775e-4,55.408,25.642,0.0047315,14.999,1013.2,340.39,1.225
0.12498,0.10188,14.112,23.905,0.8596,-0.16019,1072.1,0.084768,2.4775e-4,55.406,25.633,0.0048245,14.999,1013.2,340.39,1.225
0.12598,0.10361,14.104,23.896,0.85558,-0.16079,1072.1,0.084755,2.4775e-4,55.404,25.624,0.0049184,14.999,1013.2,340.39,1.225
0.12698,0.10536,14.096,23.888,0.85159,-0.16137,1072.1,0.084743,2.4775e-4,55.403,25.615,0.005013,14.999,1013.2,340.39,1.225
0.12798,0.10712,14.087,23.879,0.84763,-0.16195,1072.1,0.084732,2.4775e-4,55.401,25.605,0.0051085,14.999,1013.2,340.39,1.225
0.12898,0.1089,14.079,23.871,0.8437,-0.16254,1072.1,0.084721,2.4775e-4,55.4,25.596,0.0052047,14.999,1013.2,340.39,1.225
0.12998,0.11069,14.07,23.862,0.8398,-0.16313,1072,0.084712,2.4774e-4,55.398,25.587,0.0053018,14.999,1013.2,340.39,1.225
0.13098,0.11249,14.062,23.854,0.83594,-0.16371,1072,0.084703,2.4774e-4,55.397,25.578,0.0053996,14.999,1013.2,340.39,1.225
0.13198,0.11431,14.053,23.846,0.8321,-0.16431,1072,0.084695,2.4774e-4,55.396,25.568,0.0054982,14.999,1013.2,340.39,1.225
0.13298,0.11614,14.045,23.837,0.82828,-0.16491,1072,0.084687,2.4774e-4,55.394,25.559,0.0055975,14.999,1013.2,340.39,1.225
0.13398,0.11798,14.037,23.829,0.8245,-0.1655,1072,0.084681,2.4774e-4,55.393,25.55,0.0056977,14.999,1013.2,340.39,1.225
0.13498,0.11984,14.028,23.82,0.82075,-0.16609,1072,0.084675,2.4774e-4,55.392,25.541,0.0057986,14.999,1013.2,340.39,1.225
0.13598,0.12172,14.02,23.812,0.81703,-0.1667,1072,0.08467,2.4774e-4,55.392,25.531,0.0059002,14.999,1013.2,340.39,1.225
0.13698,0.1236,14.011,23.803,0.81333,-0.16729,1071.9,0.084666,2.4773e-4,55.391,25.522,0.0060026,14.999,1013.2,340.39,1.225
0.13798,0.12551,14.003,23.795,0.80966,-0.16789,1071.9,0.084662,2.4773e-4,55.39,25.513,0.0061058,14.999,1013.2,340.39,1.225
0.13898,0.12742,13.994,23.787,0.80602,-0.16848,1071.9,0.08466,2.4773e-4,55.39,25.504,0.0062097,14.999,1013.2,340.39,1.225
0.13998,0.12935,13.986,23.778,0.80241,-0.16908,1071.9,0.084658,2.4773e-4,55.389,25.494,0.0063143,14.999,1013.2,340.39,1.225
0.14098,0.13129,13.978,23.77,0.79882,-0.16969,1071.9,0.084657,2.4773e-4,55.389,25.485,0.0064197,14.999,1013.2,340.39,1.225
0.14198,0.13325,13.969,23.761,0.79527,-0.1703,1071.9,0.084656,2.4773e-4,55.388,25.476,0.0065258,14.999,1013.2,340.39,1.225
0.14298,0.13522,13.961,23.753,0.79174,-0.17088,1071.9,0.084657,2.4773e-4,55.388,25.467,0.0066326,14.999,1013.2,340.39,1.225
0.14398,0.13721,13.952,23.744,0.78823,-0.1715,1071.9,0.084658,2.4772e-4,55.388,25.457,0.0067401,14.999,1013.2,340.39,1.225
0.14498,0.13921,13.944,23.736,0.78476,-0.25982,1071.8,0.08466,2.4772e-4,55.388,25.448,0.0068484,14.999,1013.2,340.39,1.225
0.14598,0.14122,13.935,23.728,0.7813,-0.2604,1071.8,0.084662,2.4772e-4,55.388,25.439,0.0069573,14.999,1013.2,340.39,1.225
0.14698,0.14325,13.927,23.719,0.77788,-0.26099,1071.8,0.084666,2.4772e-4,55.388,25.43,0.007067,14.999,1013.2,340.39,1.225
0.14798,0.14529,13.918,23.711,0.77448,-0.26157,1071.8,0.08467,2.4772e-4,55.389,25.42,0.0071773,14.999,1013.2,340.39,1.225
0.14898,0.14735,13.91,23.702,0.77111,-0.26216,1071.8,0.084675,2.4772e-4,55.389,25.411,0.0072884,14.999,1013.2,340.39,1.225
0.14998,0.14941,13.902,23.694,0.76776,-0.26277,1071.8,0.084681,2.4772e-4,55.39,25.402,0.0074001,14.999,1013.2,340.39,1.225
0.15098,0.1515,13.893,23.685,0.76444,-0.26335,1071.8,0.084687,2.4771e-4,55.39,25.392,0.0075125,14.999,1013.2,340.39,1.225
0.15198,0.15359,13.885,23.677,0.76115,-0.26395,1071.7,0.084695,2.4771e-4,55.391,25.383,0.0076256,14.999,1013.2,340.39,1.225
0.15298,0.15571,13.876,23.668,0.75787,-0.26454,1071.7,0.084703,2.4771e-4,55.391,25.374,0.0077393,14.999,1013.2,340.39,1.225
0.15398,0.15783,13.868,23.66,0.75463,-0.26514,1071.7,0.084712,2.4771e-4,55.392,25.365,0.0078537,14.999,1013.2,340.39,1.225
0.15498,0.15997,13.859,23.652,0.75141,-0.26574,1071.7,0.084722,2.4771e-4,55.393,25.355,0.0079688,14.999,1013.2,340.39,1.225
0.15598,0.16212,13.851,23.643,0.74821,-0.26634,1071.7,0.084732,2.4771e-4,55.394,25.346,0.0080845,14.999,1013.2,340.39,1.225
0.15698,0.16429,13.842,23.635,0.74504,-0.26694,1071.7,0.084743,2.4771e-4,55.395,25.337,0.0082009,14.999,1013.2,340.39,1.225
0.15798,0.16647,13.834,23.626,0.74189,-0.26755,1071.7,0.084755,2.477e-4,55.396,25.328,0.0083179,14.999,1013.2,340.39,1.225
0.15898,0.16866,13.826,23.618,0.73876,-0.26815,1071.6,0.084768,2.477e-4,55.398,25.318,0.0084356,14.999,1013.2,340.39,1.225
0.15998,0.17087,13.817,23.609,0.73566,-0.26876,1071.6,0.084782,2.477e-4,55.399,25.309,0.0085539,14.999,1013.2,340.39,1.225
0.16098,0.17309,13.809,23.601,0.73258,-0.26936,1071.6,0.084796,2.477e-4,55.401,25.3,0.0086729,14.999,1013.2,340.39,1.225
0.16198,0.17533,13.8,23.592,0.72953,-0.26998,1071.6,0.084811,2.477e-4,55.402,25.291,0.0087924,14.999,1013.2,340.39,1.225
0.16298,0.17758,13.792,23.584,0.7265,-0.27059,1071.6,0.084827,2.477e-4,55.404,25.281,0.0089126,14.999,1013.2,340.39,1.225
0.16398,0.17984,13.783,23.576,0.72349,-0.2712,1071.6,0.084844,2.477e-4,55.406,25.272,0.0090334,14.999,1013.2,340.39,1.225
0.16498,0.18212,13.775,23.567,0.7205,-0.27182,1071.6,0.084861,2.4769e-4,55.407,25.263,0.0091548,14.999,1013.2,340.39,1.225
0.16598,0.18441,13.766,23.559,0.71754,-0.27242,1071.6,0.08488,2.4769e-4,55.409,25.254,0.0092769,14.999,1013.2,340.39,1.225
0.16698,0.18671,13.758,23.55,0.7146,-0.27302,1071.5,0.084899,2.4769e-4,55.411,25.244,0.0093995,14.999,1013.2,340.39,1.225
0.16798,0.18903,13.749,23.542,0.71168,-0.27365,1071.5,0.084919,2.4769e-4,55.414,25.235,0.0095227,14.999,1013.2,340.39,1.225
0.16898,0.19136,13.741,23.533,0.70878,-0.27427,1071.5,0.084939,2.4769e-4,55.416,25.226,0.0096465,14.999,1013.2,340.39,1.225
0.16998,0.19371,13.733,23.525,0.7059,-0.27489,1071.5,0.084961,2.4769e-4,55.418,25.217,0.009771,14.999,1013.2,340.39,1.225
0.17098,0.19607,13.724,23.516,0.70305,-0.2755,1071.5,0.084983,2.4769e-4,55.42,25.207,0.009896,14.999,1013.2,340.39,1.225
0.17198,0.19844,13.716,23.508,0.70021,-0.27611,1071.5,0.085006,2.4768e-4,55.423,25.198,0.010022,14.999,1013.2,340.39,1.225
0.17298,0.20083,13.707,23.499,0.6974,-0.27673,1071.5,0.08503,2.4768e-4,55.426,25.189,0.010148,14.999,1013.2,340.39,1.225
0.17398,0.20323,13.699,23.491,0.69461,-0.27736,1071.4,0.085055,2.4768e-4,55.428,25.18,0.010274,14.999,1013.2,340.39,1.225
0.17498,0.20564,13.69,23.482,0.69184,-0.27796,1071.4,0.085081,2.4768e-4,55.431,25.17,0.010402,14.999,1013.2,340.39,1.225
