# Simulation 1 (Up to date)
# 174 data points written for 7 variables.
#
# Angle of attack (°),Mach number (​),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
4.8426,0.032972,0.38811,0.41107,0.21948,0.048485,0.12014
5.1589,0.033166,0.38785,0.41349,0.21922,0.048485,0.12014
5.5602,0.033391,0.38755,0.41672,0.21892,0.048485,0.12014
5.75,0.033538,0.38735,0.41824,0.21872,0.048485,0.12015
6.0163,0.033713,0.38712,0.42046,0.21849,0.048485,0.12015
6.1059,0.033814,0.38699,0.42116,0.21836,0.048485,0.12015
5.9883,0.03382,0.38699,0.42005,0.21835,0.048485,0.12015
5.98,0.033863,0.38693,0.41992,0.2183,0.048485,0.12015
5.8618,0.033846,0.38695,0.41884,0.21832,0.048485,0.12015
6.0061,0.033944,0.38683,0.42005,0.21819,0.048485,0.12015
6.652,0.0343,0.38637,0.42572,0.21773,0.048485,0.12015
7.1401,0.034602,0.38598,0.4301,0.21734,0.048485,0.12016
7.4345,0.034819,0.38571,0.43274,0.21707,0.048485,0.12016
7.9845,0.035219,0.38521,0.43774,0.21656,0.048485,0.12016
8.6832,0.035781,0.38452,0.44406,0.21587,0.048485,0.12017
9.036,0.036193,0.38402,0.44707,0.21537,0.048485,0.12017
9.1547,0.036506,0.38365,0.44783,0.21499,0.048485,0.12017
9.0918,0.036744,0.38337,0.44687,0.21471,0.048485,0.12018
8.7343,0.036788,0.38332,0.44319,0.21466,0.048485,0.12018
8.4992,0.036975,0.3831,0.44056,0.21444,0.048485,0.12018
8.3256,0.037266,0.38276,0.43841,0.2141,0.048485,0.12018
8.1209,0.037579,0.38241,0.43593,0.21374,0.048485,0.12018
7.8771,0.037906,0.38204,0.43305,0.21336,0.048485,0.12019
7.4274,0.038044,0.38188,0.42838,0.21321,0.048485,0.12019
7.217,0.03849,0.38139,0.42574,0.21271,0.048485,0.12019
7.0742,0.039084,0.38074,0.42361,0.21205,0.048485,0.1202
6.8289,0.039609,0.38017,0.4206,0.21148,0.048485,0.1202
6.5843,0.040201,0.37955,0.41756,0.21085,0.048485,0.12021
6.3997,0.040971,0.37875,0.41494,0.21005,0.048485,0.12022
6.2236,0.041875,0.37785,0.4123,0.20913,0.048485,0.12023
5.9273,0.042654,0.37708,0.40875,0.20836,0.048485,0.12024
5.64,0.043566,0.37622,0.40524,0.20748,0.048485,0.12025
5.2348,0.044281,0.37555,0.40102,0.20681,0.048485,0.12025
4.7754,0.044885,0.375,0.39665,0.20625,0.048485,0.12026
4.4116,0.045859,0.37413,0.39289,0.20538,0.048485,0.12027
4.0387,0.046924,0.37321,0.38917,0.20444,0.048485,0.12029
3.6019,0.047794,0.37248,0.3854,0.2037,0.048485,0.1203
3.1824,0.048818,0.37164,0.3819,0.20285,0.048485,0.12031
2.7533,0.049847,0.37082,0.37863,0.20201,0.048485,0.12032
2.3104,0.05076,0.37011,0.37571,0.20129,0.048485,0.12033
1.876,0.051679,0.36942,0.37317,0.20058,0.048485,0.12035
1.4593,0.052931,0.36849,0.3708,0.19964,0.048485,0.12036
1.0416,0.053743,0.36791,0.3691,0.19905,0.048485,0.12038
# Event APOGEE occurred at t=4.6212 seconds
0.64247,0.054641,0.36728,0.36774,0.1984,0.048485,0.12039
0.23667,0.055926,0.3664,0.36646,0.19751,0.048485,0.12041
0.16015,0.057084,0.36563,0.36565,0.19672,0.048485,0.12042
0.57437,0.058441,0.36475,0.36512,0.19582,0.048485,0.12044
0.96318,0.059574,0.36404,0.36505,0.19509,0.048485,0.12046
1.3522,0.060757,0.36331,0.36527,0.19435,0.048485,0.12048
1.8106,0.06239,0.36234,0.36578,0.19335,0.048485,0.12051
2.2844,0.064088,0.36137,0.36672,0.19235,0.048485,0.12053
2.7287,0.06565,0.36051,0.36797,0.19146,0.048485,0.12056
3.2042,0.067425,0.35956,0.36961,0.19048,0.048485,0.12059
3.6292,0.069075,0.3587,0.37132,0.1896,0.048485,0.12062
3.9522,0.070456,0.35801,0.37273,0.18888,0.048485,0.12065
4.281,0.07207,0.35722,0.37419,0.18806,0.048485,0.12068
4.5853,0.073825,0.35639,0.37553,0.1872,0.048485,0.12071
4.8315,0.075633,0.35557,0.37652,0.18634,0.048485,0.12074
4.9963,0.077457,0.35476,0.37694,0.1855,0.048485,0.12078
5.0484,0.079224,0.354,0.37654,0.1847,0.048485,0.12082
4.9913,0.080966,0.35328,0.37532,0.18394,0.048485,0.12085
4.7876,0.082559,0.35264,0.37308,0.18327,0.048485,0.12089
4.4704,0.084083,0.35204,0.37011,0.18263,0.048485,0.12092
4.1015,0.085689,0.35142,0.36687,0.18198,0.048485,0.12095
3.6123,0.087127,0.35088,0.36312,0.18141,0.048485,0.12099
3.1535,0.088775,0.35028,0.35979,0.18077,0.048485,0.12102
2.757,0.090667,0.34961,0.35699,0.18005,0.048485,0.12107
2.309,0.092443,0.349,0.35427,0.1794,0.048485,0.12111
1.8619,0.094215,0.3484,0.35189,0.17876,0.048485,0.12115
1.4739,0.096111,0.34778,0.35,0.17809,0.048485,0.1212
1.0956,0.097974,0.34719,0.34843,0.17746,0.048485,0.12125
