6.0312,0.078041,2.7261e-4
6.0812,0.077892,2.7259e-4
6.1312,0.077743,2.7257e-4
6.1812,0.077593,2.7254e-4
6.2312,0.077444,2.7252e-4
6.2812,0.077295,2.7249e-4
6.3312,0.077148,2.7247e-4
6.3812,0.077,2.7245e-4
6.4312,0.076852,2.7242e-4
6.4812,0.076705,2.724e-4
6.5312,0.076562,2.7238e-4
6.5812,0.07642,2.7235e-4
6.6312,0.076282,2.7233e-4
6.6812,0.076151,2.7231e-4
6.7312,0.076026,2.7229e-4
6.7812,0.075911,2.7227e-4
