# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
9.9905,16.776,-26.133,38.754,55.035,1.917,-3.8092,-0.2865,7.62,45.604
10.046,17.157,-27.941,38.942,55.022,1.9894,-3.8728,-0.32588,7.62,45.604
10.091,17.417,-29.753,39.067,55.009,2.0395,-3.8989,-0.36871,7.62,45.604
10.123,18.007,-31.612,39.34,54.997,2.1552,-4.0123,-0.41628,7.62,45.604
10.145,18.829,-33.525,39.699,54.984,2.3207,-4.1854,-0.46954,7.62,45.604
10.162,19.62,-35.536,40.024,54.973,2.4849,-4.3445,-0.53002,7.62,45.604
10.178,20.32,-37.571,40.294,54.962,2.634,-4.4739,-0.59587,7.62,45.604
10.193,21.337,-39.699,40.663,54.951,2.8568,-4.6862,-0.67022,7.62,45.604
10.208,21.829,-41.874,40.831,54.94,2.9672,-4.7429,-0.75133,7.62,45.604
10.222,22.322,-44.034,40.995,54.929,3.0796,-4.7934,-0.83761,7.62,45.604
10.237,23.053,-46.233,41.226,54.918,3.2492,-4.9053,-0.93246,7.62,45.604
10.254,23.348,-48.433,41.316,54.907,3.3187,-4.8869,-1.0318,7.62,45.604
10.272,23.839,-50.595,41.462,54.896,3.4356,-4.9197,-1.1367,7.62,45.604
10.292,24.229,-52.784,41.575,54.885,3.5293,-4.9161,-1.2484,7.62,45.604
10.316,24.157,-54.889,41.554,54.874,3.512,-4.7835,-1.3554,7.62,45.604
10.344,24.971,-56.979,41.781,54.863,3.7105,-4.8904,-1.4797,7.62,45.604
10.378,25.417,-59.099,41.9,54.852,3.8211,-4.8881,-1.607,7.62,45.604
10.418,24.926,-61.137,41.769,54.841,3.6994,-4.6362,-1.7104,7.62,45.604
10.465,24.892,-63.057,41.759,54.83,3.691,-4.5141,-1.8168,7.62,45.604
10.517,25.339,-64.902,41.88,54.82,3.8017,-4.519,-1.9375,7.62,45.604
10.574,25.644,-66.68,41.959,54.811,3.8778,-4.4876,-2.0527,7.62,45.604
10.636,25.841,-68.391,42.01,54.801,3.9273,-4.4316,-2.1611,7.62,45.604
