# Simulation 1 (Up to date)
# 850 data points written for 2 variables.
#
# Angle of attack (°),Normal force coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
3.0765,0.15366
2.964,0.14642
2.8535,0.13942
2.745,0.13267
2.671,0.12813
2.6428,0.12641
2.6163,0.12481
2.5914,0.1233
2.5681,0.1219
2.536,0.11998
2.4915,0.11733
2.4487,0.11481
2.4077,0.1124
2.3683,0.11011
2.3258,0.10765
2.2786,0.10494
2.2332,0.10235
2.1894,0.099878
2.1474,0.097521
2.0603,0.092687
1.9117,0.084618
1.7652,0.076868
1.6207,0.069431
1.4782,0.062297
1.4123,0.059065
1.4489,0.060852
1.4868,0.062721
1.5261,0.064672
1.5667,0.066705
1.6463,0.070733
1.7775,0.077511
1.9094,0.084491
2.0418,0.091672
2.1748,0.099055
2.2072,0.10088
2.1042,0.095118
2.0032,0.089562
1.9041,0.084208
1.8068,0.079048
1.7003,0.073501
1.5805,0.067398
1.4627,0.061531
1.3468,0.055893
1.2329,0.050476
1.2152,0.04965
1.3264,0.054916
1.4385,0.060342
1.5513,0.06593
1.6649,0.071682
1.73,0.075035
1.7297,0.075022
1.731,0.075089
1.7338,0.075235
1.7382,0.07546
1.8015,0.078769
1.9434,0.086322
2.0858,0.094094
2.2285,0.10208
2.3715,0.11029
2.456,0.11524
2.4622,0.1156
2.4698,0.11605
2.4788,0.11658
2.4891,0.11719
2.5012,0.11791
2.515,0.11873
2.5301,0.11963
2.5466,0.12062
2.5645,0.12169
2.5787,0.12254
2.5877,0.12308
2.598,0.1237
2.6096,0.1244
2.6227,0.12519
2.6959,0.12965
2.8492,0.13915
3.0025,0.14888
3.1558,0.15884
3.3091,0.16903
3.4207,0.17659
3.4768,0.18043
3.5337,0.18437
3.5915,0.1884
3.6502,0.19252
3.7305,0.19821
3.8393,0.20602
3.9483,0.21397
4.0576,0.22205
4.1672,0.23026
4.2705,0.23811
4.3655,0.24542
4.4608,0.25284
4.5564,0.26037
4.6521,0.268
4.7145,0.27302
4.7323,0.27447
4.751,0.27598
4.7706,0.27757
4.791,0.27923
4.8401,0.28324
4.9271,0.29041
5.0142,0.29767
5.1015,0.305
5.1888,0.31242
5.2927,0.32133
5.4183,0.33225
5.5435,0.34328
5.6679,0.3544
5.7917,0.3656
5.9176,0.37714
6.0467,0.38914
6.1748,0.40119
6.3018,0.4133
6.4276,0.42545
6.5843,0.44079
6.7821,0.46047
6.977,0.48024
7.1689,0.50006
7.3578,0.51989
7.484,0.53334
7.5283,0.53809
7.5717,0.54277
7.6143,0.54737
7.6559,0.55189
7.7386,0.56091
7.8757,0.57601
8.0101,0.59098
8.1416,0.6058
8.2702,0.62044
8.3726,0.63221
8.4414,0.64017
8.508,0.64792
8.5725,0.65546
8.6348,0.66278
8.6676,0.66666
8.6622,0.66602
8.6555,0.66523
8.6476,0.66429
8.6384,0.66321
8.6807,0.66821
8.7916,0.68138
8.8987,0.69421
9.0019,0.70667
9.1011,0.71874
9.1145,0.72038
9.0158,0.70835
8.9163,0.69633
8.8163,0.68432
8.7157,0.67235
8.6864,0.66888
8.7517,0.67663
8.8138,0.68402
8.8724,0.69105
8.9277,0.6977
8.9396,0.69913
8.8954,0.6938
8.8497,0.68832
8.8027,0.6827
