Flight Time(sec),Gyro xb(°/s),Gyro yb(°/s),Gyro zb(°/s),Acc xb(m/s²),Acc yb(m/s²),Acc zb(m/s²),Acc xb backup(m/s²),Acc yb backup(m/s²),Acc zb backup(m/s²),TVC Y+°,TVC Z+°,TVC Y+ N⋅m,TVC Z+ N⋅m,Roll Wheel Val,Pressure Pa,,,Temp C°
0,0,0.08,-0.24,9.77,0.04,0.03,9.92,-0.08,-0.24,0,0,0,0,0,99360,0.345457693351899,0.38344908383377,52.24
0.001,0,0.08,-0.17,27.66,0.62,0.86,27.33,-0.3,0.11,0,0.03,-0.0009,0.0048,0,99364,0,0,52.26
0.021,-30.24,-6.86,-5.17,27.66,0.62,0.86,26.28,0.19,-0.09,0,0.03,-0.0009,0.0048,-0.56,99364,0,0,52.26
0.041,-35.49,-8.98,-9.17,26.03,0.7,0.56,25.8,-0.01,-0.27,0.69,0.7,0.134,0.1347,-0.96,99364,0,0,52.26
0.061,-35.49,-8.98,-9.17,25.04,0.59,0.58,25.79,0.14,-0.04,0.69,0.7,0.134,0.1347,-0.96,99364,0,0,52.26
0.081,-35.06,-10.36,-11.92,25.04,0.59,0.58,25.48,0.06,-0.19,0.94,1.05,0.1697,0.1918,-2.46,99364,0,0,52.26
0.101,-34.99,-9.54,-13.49,25.15,0.61,0.56,25.81,0.1,-0.25,0.94,1.05,0.1697,0.1918,-2.91,99364,0,0,52.26
0.121,-34.99,-9.54,-13.49,24.99,0.68,0.53,25.5,0.17,-0.11,0.94,1.05,0.1697,0.1918,-2.91,99364,0,0,52.26
0.141,-32.31,-9.42,-15.05,24.99,0.68,0.53,26.02,0.14,-0.19,0.93,1.24,0.1633,0.2208,-3.87,99364,0,0,52.26
0.161,-32.81,-7.29,-15.55,25.25,0.75,0.53,25.44,0.23,-0.23,0.93,1.24,0.1633,0.2208,-4.84,99364,0,0,52.26
0.181,-32.81,-7.29,-15.55,24.87,0.75,0.51,25.23,0.19,-0.26,0.91,1.65,0.1526,0.2881,-4.84,99364,0,0,52.26
0.201,-31.43,-6.23,-14.92,24.87,0.75,0.51,25.2,0.16,-0.21,0.91,1.65,0.1526,0.2881,-5.81,99364,0,0,52.26
0.221,-31.87,-4.86,-14.3,24.66,0.74,0.48,25.59,0.25,-0.24,0.94,1.82,0.1453,0.2997,-6.36,99364,0,0,52.26
0.241,-31.87,-4.86,-14.3,24.9,0.77,0.49,25.47,0.2,-0.28,0.94,1.82,0.1453,0.2997,-6.36,99364,0,0,52.26
0.261,-31.37,-1.79,-12.74,24.9,0.77,0.49,25.19,0.26,-0.28,0.91,1.93,0.1288,0.3019,-7.58,99364,0,0,52.26
0.281,-30.62,-0.36,-10.99,24.64,0.8,0.49,25.08,0.24,-0.23,0.91,1.93,0.1288,0.3019,-8.49,99364,0,0,52.26
0.301,-30.62,-0.36,-10.99,24.42,0.8,0.44,24.85,0.22,-0.15,0.63,2.03,0.0661,0.2929,-8.49,99364,0,0,52.26
0.321,-31.81,1.83,-8.74,24.42,0.8,0.44,24.58,0.39,-0.34,0.63,2.03,0.0661,0.2929,-9.4,99364,0,0,52.26
0.341,-26.49,3.27,-4.55,23.72,0.86,0.48,24.66,0.28,-0.21,0.5,2.08,0.0319,0.2737,-10.22,99364,0,0,52.26
0.361,-26.49,3.27,-4.55,23.76,0.9,0.45,24.44,0.28,-0.25,0.5,2.08,0.0319,0.2737,-10.22,99364,0,0,52.26
0.381,-25.81,4.39,-2.3,23.76,0.9,0.45,23.75,0.52,-0.5,0.41,1.99,0.0062,0.2237,-10.85,99364,0,0,52.26
0.401,-26.87,6.58,1.7,23.61,0.69,0.53,23.9,0.57,-0.18,0.41,1.99,0.0062,0.2237,-11.66,99335,2.50494338184167,2.78059310724149,52.26
0.421,-26.87,6.58,1.7,23,0.72,0.51,24.18,0.44,-0.23,0.1,1.68,-0.0556,0.1413,-11.66,99335,2.50494338184167,2.78059310724149,52.26
0.441,-23.68,6.64,3.2,23,0.72,0.51,23.42,0.4,-0.1,0.1,1.68,-0.0556,0.1413,-12.06,99335,2.50494338184167,2.78059310724149,52.26
0.461,-15.37,7.08,6.89,22.7,0.85,0.52,23.5,0.27,0.08,0.08,1.72,-0.0625,0.1185,-12.56,99335,2.50494338184167,2.78059310724149,52.26
0.481,-15.37,7.08,6.89,22.7,0.85,0.52,23.19,0.2,0.12,0.08,1.72,-0.0625,0.1185,-12.56,99335,2.50494338184167,2.78059310724149,52.26
0.501,-6.68,6.64,10.7,22.7,0.85,0.52,22.48,0.31,-0.16,0,1.53,-0.0788,0.0599,-12.56,99335,2.50494338184167,2.78059310724149,52.26
0.521,-3.31,5.52,12.58,22.37,0.8,0.62,22.98,0.27,0.08,0,1.53,-0.0788,0.0599,-12.86,99335,2.50494338184167,2.78059310724149,52.26
0.541,-3.31,5.52,12.58,22.19,0.73,0.53,22.67,0.58,0.1,0.02,0.91,-0.0727,-0.0452,-12.86,99335,2.50494338184167,2.78059310724149,52.26
0.561,2.82,4.83,14.89,22.19,0.73,0.53,21.81,0.28,0,0.02,0.91,-0.0727,-0.0452,-12.82,99335,2.50494338184167,2.78059310724149,52.26
0.581,8.44,4.02,16.83,21.59,0.87,0.46,22.38,1.09,0.45,0.04,0.61,-0.0694,-0.0945,-12.63,99335,2.50494338184167,2.78059310724149,52.26
0.601,8.44,4.02,16.83,21.54,0.73,0.46,21.3,-0.62,-0.5,0.04,0.61,-0.0694,-0.0945,-12.63,99335,2.50494338184167,2.78059310724149,52.26
0.621,10.19,3.77,19.26,21.54,0.73,0.46,21.33,0.47,-0.24,0.07,0.32,-0.0622,-0.1386,-12.32,99335,2.50494338184167,2.78059310724149,52.26
0.641,8.32,3.08,19.58,21.3,0.67,0.66,21.61,0.36,-0.13,0.07,0.32,-0.0622,-0.1386,-12.05,99335,2.50494338184167,2.78059310724149,52.26
0.661,8.32,3.08,19.58,20.87,0.6,0.3,21.14,0.24,-0.19,0.1,-0.22,-0.0572,-0.2235,-12.05,99335,2.50494338184167,2.78059310724149,52.26
0.681,6.88,3.14,18.64,20.87,0.6,0.3,21.1,0.2,-0.16,0.1,-0.22,-0.0572,-0.2235,-11.87,99335,2.50494338184167,2.78059310724149,52.26
0.701,5.57,3.77,17.08,20.53,0.66,0.37,20.71,0.28,-0.24,0.06,-0.29,-0.0613,-0.2297,-11.71,99335,2.50494338184167,2.78059310724149,52.26
0.721,5.57,3.77,17.08,20.3,0.8,0.24,20.62,0.08,-0.08,0.06,-0.29,-0.0613,-0.2297,-11.71,99335,2.50494338184167,2.78059310724149,52.26
0.741,5.88,3.64,16.33,20.3,0.8,0.24,19.93,0.38,-0.32,-0.03,-0.31,-0.0738,-0.2265,-11.64,99335,2.50494338184167,2.78059310724149,52.26
0.761,5.88,4.14,12.95,19.86,0.58,0.29,19.82,-0.22,-0.36,-0.03,-0.31,-0.0738,-0.2265,-11.41,99335,2.50494338184167,2.78059310724149,52.26
0.781,5.88,4.14,12.95,19.53,0.63,0.33,19.87,0.11,-0.03,-0.13,-0.15,-0.0877,-0.1987,-11.41,99335,2.50494338184167,2.78059310724149,52.26
0.801,6.63,4.89,8.89,19.53,0.63,0.33,19.69,-0.02,-0.13,-0.13,-0.15,-0.0877,-0.1987,-11.21,99335,2.50494338184167,2.78059310724149,52.26
0.821,7.45,5.39,6.01,19.44,0.56,0.39,19.44,0.07,-0.38,-0.25,0.12,-0.104,-0.1547,-11,99335,2.50494338184167,2.78059310724149,52.26
0.841,7.45,5.39,6.01,19.07,0.5,0.31,19.3,0.15,0,-0.25,0.12,-0.104,-0.1547,-11,99335,2.50494338184167,2.78059310724149,52.26
0.861,8.82,6.21,3.33,19.07,0.5,0.31,19.24,0.31,-0.31,-0.37,0.32,-0.1178,-0.123,-10.79,99335,2.50494338184167,2.78059310724149,52.26
0.881,9.76,6.71,0.51,18.85,0.63,0.39,18.84,0.28,-0.17,-0.37,0.32,-0.1178,-0.123,-10.52,99335,2.50494338184167,2.78059310724149,52.26
0.901,9.76,6.71,0.51,18.58,0.6,0.26,18.53,0.43,-0.2,-0.61,0.81,-0.1505,-0.052,-10.52,99283,6.99874646236323,7.76842713485126,52.24
0.921,11.07,6.58,-2.17,18.58,0.6,0.26,18.21,0.34,0,-0.61,0.81,-0.1505,-0.052,-10.21,99283,6.99874646236323,7.76842713485126,52.24
0.941,11.94,6.77,-4.61,18.25,0.49,0.25,17.96,0.59,-0.26,-0.67,1.09,-0.1572,-0.0125,-9.87,99283,6.99874646236323,7.76842713485126,52.24
0.961,11.94,6.77,-4.61,17.77,0.62,0.2,18.26,0.44,-0.4,-0.67,1.09,-0.1572,-0.0125,-9.87,99283,6.99874646236323,7.76842713485126,52.24
0.981,12.44,6.58,-5.99,17.77,0.62,0.2,17.66,0.25,-0.12,-0.8,1.38,-0.1682,0.0266,-9.65,99283,6.99874646236323,7.76842713485126,52.24
1.001,12.44,6.58,-5.99,17.77,0.62,0.2,17.33,0.23,-0.21,-0.8,1.38,-0.1682,0.0266,-9.65,99283,6.99874646236323,7.76842713485126,52.24
1.021,12.44,6.58,-5.99,17.08,0.62,0.22,17.07,0.35,-0.15,0.26,1.42,-0.0263,0.0328,-9.65,99283,6.99874646236323,7.76842713485126,52.24
1.041,12.88,5.71,-7.86,17.08,0.62,0.22,17.07,0.3,-0.23,0.26,1.42,-0.0263,0.0328,-8.77,99283,6.99874646236323,7.76842713485126,52.24
1.061,13.01,5.71,-7.17,16.67,0.64,0.27,16.8,0.4,-0.36,0.32,1.79,-0.0176,0.0788,-8.62,99283,6.99874646236323,7.76842713485126,52.24
1.081,13.01,5.71,-7.17,16.34,0.54,0.17,16.55,0.25,-0.35,0.32,1.79,-0.0176,0.0788,-8.62,99283,6.99874646236323,7.76842713485126,52.24
1.101,13.19,6.14,-7.05,16.34,0.54,0.17,16.35,0.17,-0.33,0.27,1.72,-0.0229,0.0669,-8.23,99283,6.99874646236323,7.76842713485126,52.24
1.121,14.01,7.46,-6.42,15.85,0.57,0.13,16.07,0.37,-0.3,0.27,1.72,-0.0229,0.0669,-7.83,99283,6.99874646236323,7.76842713485126,52.24
1.141,14.01,7.46,-6.42,15.74,0.48,0.02,15.95,0.64,-0.15,-0.1,1.75,-0.0666,0.0683,-7.83,99283,6.99874646236323,7.76842713485126,52.24
1.161,15.01,9.52,-5.8,15.74,0.48,0.02,15.56,0.1,-0.44,-0.1,1.75,-0.0666,0.0683,-7.39,99283,6.99874646236323,7.76842713485126,52.24
1.181,15.88,12.08,-4.36,15.35,0.6,0.06,15.79,0.37,-0.13,-0.52,1.67,-0.1149,0.0585,-6.93,99283,6.99874646236323,7.76842713485126,52.24
1.201,15.88,12.08,-4.36,15.28,0.46,0.08,15.77,0.25,-0.12,-0.52,1.67,-0.1149,0.0585,-6.93,99283,6.99874646236323,7.76842713485126,52.24
1.221,16.13,14.08,-3.36,15.28,0.46,0.08,15.1,0.27,-0.31,-1.03,1.52,-0.1706,0.0396,-6.45,99283,6.99874646236323,7.76842713485126,52.24
1.241,16.19,14.83,-2.8,15.26,0.33,0.14,14.98,0.32,-0.42,-1.03,1.52,-0.1706,0.0396,-6.17,99283,6.99874646236323,7.76842713485126,52.24
1.261,16.19,14.83,-2.8,15.26,0.33,0.14,14.97,0.38,0.01,-1.66,1.36,-0.2426,0.0211,-6.17,99283,6.99874646236323,7.76842713485126,52.24
1.281,15.32,15.77,-1.49,15.26,0.33,0.14,14.7,0.2,-0.09,-1.66,1.36,-0.2426,0.0211,-5.56,99283,6.99874646236323,7.76842713485126,52.24
1.301,13.44,15.83,-0.61,14.43,0.57,0.13,14.75,0.39,-0.31,-1.82,1.3,-0.2613,0.014,-5.16,99283,6.99874646236323,7.76842713485126,52.24
1.321,13.44,15.83,-0.61,14.49,0.61,0.16,14.47,0.31,-0.31,-1.82,1.3,-0.2613,0.014,-5.16,99283,6.99874646236323,7.76842713485126,52.24
1.341,10.69,14.46,0.33,14.49,0.61,0.16,14.48,0.33,-0.11,-2.21,1.18,-0.2905,0.0005,-4.82,99283,6.99874646236323,7.76842713485126,52.24
1.361,6.63,12.46,1.58,14.29,0.47,0.23,14.4,0.18,-0.13,-2.21,1.18,-0.2905,0.0005,-4.58,99283,6.99874646236323,7.76842713485126,52.24
1.381,6.63,12.46,1.58,13.98,0.58,0.14,14.18,0.08,-0.13,-2.23,0.87,-0.2877,-0.0335,-4.58,99283,6.99874646236323,7.76842713485126,52.24
1.401,4.76,11.08,2.2,13.98,0.58,0.14,13.95,0.35,-0.05,-2.23,0.87,-0.2877,-0.0335,-4.44,99187,15.3023630694297,16.9794845233142,52.13
1.421,-0.43,7.96,3.33,13.9,0.54,0.18,14.21,0.25,-0.25,-2.43,0.71,-0.303,-0.0493,-4.41,99187,15.3023630694297,16.9794845233142,52.13
1.441,-0.43,7.96,3.33,13.81,0.43,0.16,14.37,0.26,-0.25,-2.43,0.71,-0.303,-0.0493,-4.41,99187,15.3023630694297,16.9794845233142,52.13
1.461,-2.49,6.52,3.76,13.81,0.43,0.16,14.01,0.24,-0.2,-2.27,0.48,-0.2827,-0.072,-4.46,99187,15.3023630694297,16.9794845233142,52.13
1.481,-7.37,3.08,4.01,13.69,0.62,0.13,14.26,0.14,-0.08,-2.27,0.48,-0.2827,-0.072,-4.64,99187,15.3023630694297,16.9794845233142,52.13
1.501,-7.37,3.08,4.01,13.71,0.52,0.12,13.39,0.32,-0.11,-1.87,0.27,-0.239,-0.0935,-4.64,99187,15.3023630694297,16.9794845233142,52.13
1.521,-7.37,3.08,4.01,13.71,0.52,0.12,13.69,0.03,-0.09,-1.87,0.27,-0.239,-0.0935,-4.64,99187,15.3023630694297,16.9794845233142,52.13
1.541,-12.06,-1.04,3.08,13.33,0.74,0.14,13.64,0.07,-0.08,-1.86,0.32,-0.2387,-0.0883,-5.3,99187,15.3023630694297,16.9794845233142,52.13
1.561,-12.06,-1.04,3.08,13.38,0.33,0.26,13.61,0.13,-0.18,-1.86,0.32,-0.2387,-0.0883,-5.3,99187,15.3023630694297,16.9794845233142,52.13
1.581,-13.81,-2.67,2.2,13.38,0.33,0.26,13.53,0.28,-0.26,-1.4,0.3,-0.1868,-0.0885,-5.65,99187,15.3023630694297,16.9794845233142,52.13
1.601,-16.06,-4.86,0.45,13.23,0.34,0.15,13.5,0.2,-0.24,-1.4,0.3,-0.1868,-0.0885,-6.12,99187,15.3023630694297,16.9794845233142,52.13
1.621,-16.06,-4.86,0.45,13.22,0.39,0.07,13.38,0.17,-0.17,-0.99,0.54,-0.1433,-0.0638,-6.12,99187,15.3023630694297,16.9794845233142,52.13
1.641,-16.18,-5.11,0.01,13.22,0.39,0.07,13.2,0.1,-0.08,-0.99,0.54,-0.1433,-0.0638,-6.33,99187,15.3023630694297,16.9794845233142,52.13
1.661,-18.87,-5.73,-1.8,13.17,0.33,0.18,13.09,0.2,-0.27,-1.13,0.54,-0.1571,-0.0639,-6.79,99187,15.3023630694297,16.9794845233142,52.13
1.681,-18.87,-5.73,-1.8,12.91,0.35,0.02,13.18,0.34,-0.23,-1.13,0.54,-0.1571,-0.0639,-6.79,99187,15.3023630694297,16.9794845233142,52.13
1.701,-18.56,-5.29,-2.17,12.91,0.35,0.02,13.06,0.16,-0.11,-1.19,0.72,-0.1592,-0.0447,-7.34,99187,15.3023630694297,16.9794845233142,52.13
1.721,-19.62,-4.86,-3.11,12.87,0.36,0.16,13.22,-0.07,-0.55,-1.19,0.72,-0.1592,-0.0447,-7.9,99187,15.3023630694297,16.9794845233142,52.13
1.741,-19.62,-4.86,-3.11,12.84,0.25,-0.04,13.05,0.28,-0.45,-1.31,0.88,-0.171,-0.0293,-7.9,99187,15.3023630694297,16.9794845233142,52.13
1.761,-19.74,-4.67,-4.11,12.84,0.25,-0.04,12.97,0.39,-0.48,-1.31,0.88,-0.171,-0.0293,-8.49,99187,15.3023630694297,16.9794845233142,52.13
1.781,-9.18,-3.67,-4.92,12.84,0.25,-0.04,12.96,0.48,0.3,-1.39,1.01,-0.1779,-0.0166,-8.86,99187,15.3023630694297,16.9794845233142,52.13
1.801,-9.18,-3.67,-4.92,12.69,0.39,0.44,13,0.5,-0.12,-1.39,1.01,-0.1779,-0.0166,-8.86,99187,15.3023630694297,16.9794845233142,52.13
1.821,-6.99,-3.04,-5.55,12.69,0.39,0.44,13.35,0.45,0.06,-1.45,1.3,-0.182,0.0117,-9.05,99187,15.3023630694297,16.9794845233142,52.13
1.841,-9.18,-3.36,-5.92,12.7,0.29,0.12,12.77,-0.05,-0.14,-1.45,1.3,-0.182,0.0117,-9.27,99187,15.3023630694297,16.9794845233142,52.13
1.861,-9.18,-3.36,-5.92,12.64,0.25,0.23,12.66,0.24,-0.11,-1.61,1.51,-0.1972,0.0314,-9.27,99187,15.3023630694297,16.9794845233142,52.13
1.881,-10.37,-3.23,-6.36,12.64,0.25,0.23,12.64,0.24,-0.18,-1.61,1.51,-0.1972,0.0314,-9.56,99187,15.3023630694297,16.9794845233142,52.13
1.901,-11.62,-2.92,-6.17,12.49,0.42,0.14,12.61,-0.13,0.04,-1.81,1.59,-0.2146,0.0394,-9.85,99187,15.3023630694297,16.9794845233142,52.13
1.921,-11.62,-2.92,-6.17,12.39,0.37,0.26,12.81,0.34,-0.06,-1.81,1.59,-0.2146,0.0394,-9.85,99100,22.8357826080714,25.3229791515143,51.93
1.941,-12.99,-3.04,-5.61,12.39,0.37,0.26,12.46,0.03,-0.21,-1.97,1.61,-0.2258,0.04,-10.17,99100,22.8357826080714,25.3229791515143,51.93
1.961,-14.37,-3.29,-4.92,12.35,0.38,0.08,12.4,0.09,0,-1.97,1.61,-0.2258,0.04,-10.59,99100,22.8357826080714,25.3229791515143,51.93
1.981,-14.37,-3.29,-4.92,12.26,0.36,0.21,11.43,-1.4,0.18,-1.95,1.5,-0.2236,0.0297,-10.59,99100,22.8357826080714,25.3229791515143,51.93
2.001,-13.74,-3.79,-3.99,12.26,0.36,0.21,12.34,-0.29,0.05,-1.95,1.5,-0.2236,0.0297,-11.03,99100,22.8357826080714,25.3229791515143,51.93
2.021,-13.74,-3.79,-3.99,12.17,0.32,0.3,12.35,-0.41,-0.05,-2,1.37,-0.2258,0.0173,-11.03,99100,22.8357826080714,25.3229791515143,51.93
2.041,-13.74,-3.79,-3.99,12.17,0.32,0.3,12.36,0.24,-0.19,-2,1.37,-0.2258,0.0173,-11.03,99100,22.8357826080714,25.3229791515143,51.93
2.061,-0.93,-5.04,-3.36,12.17,0.32,0.3,12.31,0.26,0.1,-2.02,1.37,-0.2258,0.0173,-11.08,99100,22.8357826080714,25.3229791515143,51.93
2.081,5.01,-5.61,-2.36,12.21,0.36,0.24,12.46,0.26,0.07,-2.02,1.37,-0.2258,0.0173,-10.96,99100,22.8357826080714,25.3229791515143,51.93
2.101,5.01,-5.61,-2.36,12.03,0.3,0,12.36,-0.03,0.06,-1.65,1.23,-0.193,0.0044,-10.96,99100,22.8357826080714,25.3229791515143,51.93
2.121,2.32,-6.48,-1.49,12.03,0.3,0,12.69,0.2,-0.14,-1.65,1.23,-0.193,0.0044,-10.87,99100,22.8357826080714,25.3229791515143,51.93
2.141,-0.12,-7.29,-0.49,12.09,0.12,0.26,12.14,0.07,-0.19,-1.67,1.1,-0.1917,-0.0071,-10.86,99100,22.8357826080714,25.3229791515143,51.93
2.161,-0.12,-7.29,-0.49,12.17,0.27,0.12,11.97,0.39,0.28,-1.67,1.1,-0.1917,-0.0071,-10.86,99100,22.8357826080714,25.3229791515143,51.93
2.181,-1.12,-7.61,-0.36,12.17,0.27,0.12,12.52,0.15,-0.12,-1.52,0.96,-0.1803,-0.0196,-10.89,99100,22.8357826080714,25.3229791515143,51.93
2.201,-3.56,-7.98,0.33,12.16,0.26,0.19,12.19,-0.01,-0.14,-1.52,0.96,-0.1803,-0.0196,-10.97,99100,22.8357826080714,25.3229791515143,51.93
2.221,-3.56,-7.98,0.33,12.03,0.31,0.18,12.35,-0.1,-0.02,-1.33,0.84,-0.1635,-0.0305,-10.97,99100,22.8357826080714,25.3229791515143,51.93
2.241,-4.99,-8.11,0.89,12.03,0.31,0.18,12.04,0.24,-0.08,-1.33,0.84,-0.1635,-0.0305,-11.11,99100,22.8357826080714,25.3229791515143,51.93
2.261,-5.99,-8.36,1.26,12.05,0.31,0.38,12.3,0.06,-0.06,-1.39,0.75,-0.1669,-0.0391,-11.22,99100,22.8357826080714,25.3229791515143,51.93
2.281,-5.99,-8.36,1.26,12.05,0.31,0.38,12.2,0.11,-0.18,-1.39,0.75,-0.1669,-0.0391,-11.22,99100,22.8357826080714,25.3229791515143,51.93
2.301,-8.06,-8.54,1.58,12.05,0.31,0.38,12.09,-0.13,0.05,-1.28,0.67,-0.1574,-0.0457,-11.54,99100,22.8357826080714,25.3229791515143,51.93
2.321,-9.43,-8.48,1.58,12.02,0.3,0.35,12.07,0.13,0.06,-1.28,0.67,-0.1574,-0.0457,-11.82,99100,22.8357826080714,25.3229791515143,51.93
2.341,-9.43,-8.48,1.58,11.94,0.32,0.25,13,0.35,0.66,-0.97,0.59,-0.1289,-0.0531,-11.82,99100,22.8357826080714,25.3229791515143,51.93
2.361,-11.12,-8.17,1.33,11.94,0.32,0.25,12.46,-0.69,-0.37,-0.97,0.59,-0.1289,-0.0531,-12.15,99100,22.8357826080714,25.3229791515143,51.93
2.381,-9.06,-8.29,1.14,11.95,0.52,0.58,12.54,-0.75,-0.5,-0.99,0.58,-0.1293,-0.0539,-12.32,99100,22.8357826080714,25.3229791515143,51.93
2.401,-9.06,-8.29,1.14,12.11,-0.3,0.27,11.84,0.61,-0.16,-0.99,0.58,-0.1293,-0.0539,-12.32,99100,22.8357826080714,25.3229791515143,51.93
2.421,5.76,-7.42,-0.74,12.11,-0.3,0.27,12.33,0.29,0.14,-0.92,0.59,-0.1247,-0.0536,-12.3,98994,32.0250771619438,35.4989394001408,51.8
2.441,11.51,-7.36,-0.55,11.86,0.04,0.07,12.26,0.23,-0.08,-0.92,0.59,-0.1247,-0.0536,-12.06,98994,32.0250771619438,35.4989394001408,51.8
2.461,11.51,-7.36,-0.55,11.98,0.35,0.43,12.04,0.24,0.29,-0.94,0.83,-0.1239,-0.0306,-12.06,98994,32.0250771619438,35.4989394001408,51.8
2.481,22.94,-5.23,-0.61,11.98,0.35,0.43,11.63,0,-0.04,-0.94,0.83,-0.1239,-0.0306,-11.52,98994,32.0250771619438,35.4989394001408,51.8
2.501,23.26,-4.42,-1.17,11.87,0.21,0.26,11.91,0.06,0.29,-1.26,0.85,-0.1548,-0.0292,-10.93,98994,32.0250771619438,35.4989394001408,51.8
2.521,23.26,-4.42,-1.17,11.8,0.34,0.38,12.03,0.1,-0.16,-1.26,0.85,-0.1548,-0.0292,-10.93,98994,32.0250771619438,35.4989394001408,51.8
2.541,22.07,-4.92,-1.55,11.8,0.34,0.38,12.02,0.54,-0.08,-1.42,0.99,-0.1665,-0.0164,-10.67,98994,32.0250771619438,35.4989394001408,51.8
2.561,20.19,-3.48,-1.92,11.73,0.11,0.31,12.04,-0.11,0.02,-1.42,0.99,-0.1665,-0.0164,-9.87,98994,32.0250771619438,35.4989394001408,51.8
2.581,20.19,-3.48,-1.92,11.87,0.1,0.34,11.71,-0.38,0,-1.42,1.21,-0.1652,0.0027,-9.87,98994,32.0250771619438,35.4989394001408,51.8
2.601,18.44,-3.11,-2.49,11.87,0.1,0.34,11.49,0.47,-0.01,-1.42,1.21,-0.1652,0.0027,-9.32,98994,32.0250771619438,35.4989394001408,51.8
2.621,16.38,-2.92,-2.99,11.7,0.55,0.34,11.8,0.1,0.13,-1.46,1.39,-0.1711,0.0187,-8.83,98994,32.0250771619438,35.4989394001408,51.8
2.641,16.38,-2.92,-2.99,11.7,0.2,0.6,12.23,0,0.08,-1.46,1.39,-0.1711,0.0187,-8.83,98994,32.0250771619438,35.4989394001408,51.8
2.661,15.57,-2.42,-2.8,11.7,0.2,0.6,11.9,-0.14,-0.12,-1.51,1.52,-0.1729,0.0298,-8.43,98994,32.0250771619438,35.4989394001408,51.8
2.681,12.76,-2.67,-2.67,11.76,0.15,0.24,11.94,0.14,0.21,-1.51,1.52,-0.1729,0.0298,-8.03,98994,32.0250771619438,35.4989394001408,51.8
2.701,12.76,-2.67,-2.67,11.69,0.25,0.19,11.95,0.25,-0.05,-1.46,1.57,-0.1689,0.0348,-8.03,98994,32.0250771619438,35.4989394001408,51.8
2.721,12.01,-2.17,-3.05,11.69,0.25,0.19,12.05,0.06,0.11,-1.46,1.57,-0.1689,0.0348,-7.73,98994,32.0250771619438,35.4989394001408,51.8
2.741,8.88,-2.98,-2.05,11.81,0.12,0.35,11.65,0.32,-0.1,-1.58,1.72,-0.1788,0.048,-7.44,98994,32.0250771619438,35.4989394001408,51.8
2.761,8.88,-2.98,-2.05,11.68,0.18,0.22,12.02,0.1,-0.05,-1.58,1.72,-0.1788,0.048,-7.44,98994,32.0250771619438,35.4989394001408,51.8
2.781,6.88,-2.79,-1.42,11.68,0.18,0.22,12.16,0.4,-0.08,-1.43,1.64,-0.1652,0.0405,-7.24,98994,32.0250771619438,35.4989394001408,51.8
2.801,6.88,-2.79,-1.42,11.7,0.26,0.26,11.59,0,0.02,-1.43,1.64,-0.1652,0.0405,-7.24,98994,32.0250771619438,35.4989394001408,51.8
2.821,6.88,-2.79,-1.42,11.7,0.15,0.29,11.98,-0.02,0.1,-1.42,1.58,-0.1649,0.0351,-7.24,98994,32.0250771619438,35.4989394001408,51.8
2.841,3.32,-2.98,0.14,11.7,0.15,0.29,11.89,0.29,0.04,-1.42,1.58,-0.1649,0.0351,-7.07,98994,32.0250771619438,35.4989394001408,51.8
2.861,0.63,-3.17,1.58,11.73,0.25,0.19,11.79,0,0.02,-1.3,1.41,-0.1544,0.0205,-7.03,98994,32.0250771619438,35.4989394001408,51.8
2.881,0.63,-3.17,1.58,11.75,0.18,0.31,11.87,-0.11,-0.03,-1.3,1.41,-0.1544,0.0205,-7.03,98994,32.0250771619438,35.4989394001408,51.8
2.901,-1.3,-3.29,2.26,11.75,0.18,0.31,11.97,0.04,-0.08,-1.24,1.19,-0.1493,0.0008,-7.06,98994,32.0250771619438,35.4989394001408,51.8
2.921,-2.81,-3.23,2.89,11.74,0.16,0.19,11.72,0.15,-0.04,-1.24,1.19,-0.1493,0.0008,-7.12,98889,41.1392341175153,45.5820917794082,51.66
2.941,-2.81,-3.23,2.89,11.89,0.28,0.27,11.74,0.12,0.15,-1.16,0.94,-0.142,-0.021,-7.12,98889,41.1392341175153,45.5820917794082,51.66
2.961,-3.99,-2.86,3.76,11.89,0.28,0.27,11.94,-0.23,0.08,-1.16,0.94,-0.142,-0.021,-7.23,98889,41.1392341175153,45.5820917794082,51.66
2.981,-6.05,-2.98,4.33,11.73,0.18,0.29,11.88,0.16,-0.18,-1.17,0.78,-0.145,-0.0356,-7.39,98889,41.1392341175153,45.5820917794082,51.66
3.001,-6.05,-2.98,4.33,11.7,0.22,0.17,11.79,0.38,-0.07,-1.17,0.78,-0.145,-0.0356,-7.39,98889,41.1392341175153,45.5820917794082,51.66
3.021,-7.18,-2.36,4.64,11.7,0.22,0.17,11.88,0.11,-0.08,-1.15,0.63,-0.1407,-0.0479,-7.59,98889,41.1392341175153,45.5820917794082,51.66
3.041,-7.62,-2.42,4.64,11.63,0.22,0.3,11.82,-0.05,-0.03,-1.15,0.63,-0.1407,-0.0479,-7.73,98889,41.1392341175153,45.5820917794082,51.66
3.061,-7.62,-2.42,4.64,11.63,0.22,0.3,11.75,-0.01,-0.07,-1.2,0.48,-0.1445,-0.0612,-7.73,98889,41.1392341175153,45.5820917794082,51.66
